incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
901829349,C18703371,10/25/2018 02:00:32 PM,"289 - LARCENY, TFB - THEFT FROM BUILDING","289 - LARCENY, TFB - THEFT FROM BUILDING",,19200 Block AURORA AVE N,,SHORELINE,WA,98133,,47.7692651,-122.3451881,01/17/2019 07:45:17 PM,02/21/2019 01:44:04 AM,POINT (-122.3451881 47.7692651),14,Thursday,Theft
901804976,C18046575,10/25/2018 03:37:44 PM,600 - UNLAWFUL TRANSIT / BUS CONDUCT,600 - UNLAWFUL TRANSIT / BUS CONDUCT,,400 Block S JACKSON ST,,SEATTLE,WA,98104,,47.5990077,-122.3278554,01/17/2019 07:22:16 PM,02/21/2019 01:04:08 AM,POINT (-122.3278554 47.5990077),15,Thursday,Disorder
900663670,C18031602,07/16/2018 02:59:00 PM,"204 - CONTROLLED SUBSTANCE FOR DISPOSAL (PARAPHERNALIA, NEEDLES, ETC.)","204 - CONTROLLED SUBSTANCE FOR DISPOSAL (PARAPHERNALIA, NEEDLES, ETC.)",,12900 Block SE 202ND PL,,KENT,WA,98031,,47.4205165,-122.1687574,01/10/2019 08:03:53 PM,01/11/2019 01:06:59 AM,POINT (-122.1687574 47.4205165),14,Monday,Drugs
907650710,C18046561,10/25/2018 03:49:30 PM,"511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)","511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)",,25900 Block 78TH AVE S,,KENT,WA,98032,,47.3688422,-122.2360511,02/21/2019 12:52:25 AM,02/21/2019 12:53:28 AM,POINT (-122.2360511 47.3688422),15,Thursday,Other
901805239,C18047080,10/25/2018 04:00:19 PM,160 - CHILD ABUSE,160 - CHILD ABUSE,,9500 Block 226TH PL NE,,REDMOND,WA,98053,,47.6847808,-122.0389526,01/17/2019 07:24:35 PM,02/21/2019 01:08:38 AM,POINT (-122.0389526 47.6847808),16,Thursday,Assault
901804595,C18046583,10/25/2018 04:20:31 PM,404 - DUI,404 - DUI,,13300 Block 208TH AVE NE,,WOODINVILLE,WA,98077,,47.71832930000001,-122.0617569,01/17/2019 07:20:17 PM,02/21/2019 12:59:53 AM,POINT (-122.0617569 47.71832930000001),16,Thursday,Traffic
907650708,C18046582,10/25/2018 04:39:02 PM,"510 - CRIMINAL WARRANT, FELONY (OUTSIDE AGENCY)","510 - CRIMINAL WARRANT, FELONY (OUTSIDE AGENCY)",,1500 Block 3RD AVE,,SEATTLE,WA,98101,,47.6097578,-122.3378041,02/21/2019 12:52:25 AM,02/21/2019 12:53:28 AM,POINT (-122.3378041 47.6097578),16,Thursday,Other
901804759,C18046589,10/25/2018 05:44:25 PM,200 - CONTROLLED SUBSTANCE VIOLATION,200 - CONTROLLED SUBSTANCE VIOLATION,,1500 Block 3RD AVE,,SEATTLE,WA,98101,,47.6097578,-122.3378041,01/17/2019 07:21:27 PM,02/21/2019 01:02:22 AM,POINT (-122.3378041 47.6097578),17,Thursday,Drugs
901803168,C18046591,10/25/2018 05:45:00 PM,222 - DEATH INVESTIGATION,222 - DEATH INVESTIGATION,,10700 Block 298TH AVE NE,,CARNATION,WA,98014,,47.6932434,-121.9395136,01/17/2019 07:15:45 PM,02/21/2019 12:49:37 AM,POINT (-121.9395136 47.6932434),17,Thursday,Death
901803534,C18046707,10/25/2018 06:20:50 PM,"271 - BURGLARY, COMMERCIAL","271 - BURGLARY, COMMERCIAL",,600 Block SW 100TH ST,,SEATTLE,WA,98146,,47.513891,-122.3434109,01/17/2019 07:17:26 PM,02/21/2019 12:53:28 AM,POINT (-122.3434109 47.513891),18,Thursday,Breaking & Entering
